s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	p0	p1	p2	p3
			*VcV	Max	Ident
	huta	0.0	0	1	0
hus-e$$$s14$p2	huse	1.0	1	0	0
	hule	0.0	0	0	1
	hue	0.0	0	1	0
hus-te$$$s14$p3	hutte	1.0	0	0	0
	hulte	0.0	0	0	1
	hute	0.0	0	1	0
kis-a$$$s15$p0	kisa	1.0	1	0	0
	kila	0.0	0	0	1
	kia	0.0	0	1	0
kis-ta$$$s15$p1	kitta	1.0	0	0	0
	kilta	0.0	0	0	1
	kita	0.0	0	1	0
kis-e$$$s15$p2	kise	1.0	1	0	0
	kile	0.0	0	0	1
	kie	0.0	0	1	0
kis-te$$$s15$p3	kitte	1.0	0	0	0
	kilte	0.0	0	0	1
	kite	0.0	0	1	0
mis-a$$$s16$p0	misa	0.0	1	0	0
	mila	0.0	0	0	1
	mia	1.0	0	1	0
mis-ta$$$s16$p1	mitta	1.0	0	0	0
	milta	0.0	0	0	1
	mita	0.0	0	1	0
mis-e$$$s16$p2	mise	0.0	1	0	0
	mile	0.0	0	0	1
	mie	1.0	0	1	0
mis-te$$$s16$p3	mitte	1.0	0	0	0
	milte	0.0	0	0	1
	mite	0.0	0	1	0
pes-a$$$s17$p0	pesa	0.0	1	0	0
	pela	0.0	0	0	1
	pea	1.0	0	1	0
pes-ta$$$s17$p1	petta	1.0	0	0	0
	pelta	0.0	0	0	1
	peta	0.0	0	1	0
pes-e$$$s17$p2	pese	0.0	1	0	0
	pele	0.0	0	0	1
	pee	1.0	0	1	0
pes-te$$$s17$p3	pette	1.0	0	0	0
	pelte	0.0	0	0	1
	pete	0.0	0	1	0
ses-a$$$s18$p0	sesa	0.0	1	0	0
	sela	0.0	0	0	1
	sea	1.0	0	1	0
ses-ta$$$s18$p1	setta	1.0	0	0	0
	selta	0.0	0	0	1
	seta	0.0	0	1	0
ses-e$$$s18$p2	sese	0.0	1	0	0
	sele	0.0	0	0	1
	see	1.0	0	1	0
ses-te$$$s18$p3	sette	1.0	0	0	0
	selte	0.0	0	0	1
	sete	0.0	0	1	0
nes-a$$$s19$p0	nesa	0.0	1	0	0
	nela	0.0	0	0	1
	nea	1.0	0	1	0
nes-ta$$$s19$p1	netta	1.0	0	0	0
	nelta	0.0	0	0	1
	neta	0.0	0	1	0
nes-e$$$s19$p2	nese	0.0	1	0	0
	nele	0.0	0	0	1
	nee	1.0	0	1	0
nes-te$$$s19$p3	nette	1.0	0	0	0
	nelte	0.0	0	0	1
	nete	0.0	0	1	0
nus-a$$$s20$p0	nusa	0.0	1	0	0
	nula	0.0	0	0	1
	nua	1.0	0	1	0
nus-ta$$$s20$p1	nutta	1.0	0	0	0
	nulta	0.0	0	0	1
	nuta	0.0	0	1	0
nus-e$$$s20$p2	nuse	0.0	1	0	0
	nule	0.0	0	0	1
	nue	1.0	0	1	0
nus-te$$$s20$p3	nutte	1.0	0	0	0
	nulte	0.0	0	0	1
	nute	0.0	0	1	0
