s0	s1	s2	s3	s4	s5	s6	s7	s8	s9	s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	s20	p0	p1	p2	p3	p4	p5
			*VcV	Max	Ident
tot-te$$$s9$p3	totte	1.0	0	0	0
	tolte	0.0	0	0	1
	tote	0.0	0	1	0
tot-tu$$$s9$p4	tottu	1.0	0	0	0
	toltu	0.0	0	0	1
	totu	0.0	0	1	0
tot-u$$$s9$p5	totu	0.0	1	0	0
	tolu	1.0	0	0	1
	tou	0.0	0	1	0
not-a$$$s10$p0	nota	0.0	1	0	0
	nola	1.0	0	0	1
	noa	0.0	0	1	0
not-ta$$$s10$p1	notta	1.0	0	0	0
	nolta	0.0	0	0	1
	nota	0.0	0	1	0
not-e$$$s10$p2	note	0.0	1	0	0
	nole	1.0	0	0	1
	noe	0.0	0	1	0
not-te$$$s10$p3	notte	1.0	0	0	0
	nolte	0.0	0	0	1
	note	0.0	0	1	0
not-tu$$$s10$p4	nottu	1.0	0	0	0
	noltu	0.0	0	0	1
	notu	0.0	0	1	0
not-u$$$s10$p5	notu	0.0	1	0	0
	nolu	1.0	0	0	1
	nou	0.0	0	1	0
mat-a$$$s11$p0	mata	0.0	1	0	0
	mala	1.0	0	0	1
	maa	0.0	0	1	0
mat-ta$$$s11$p1	matta	1.0	0	0	0
	malta	0.0	0	0	1
	mata	0.0	0	1	0
mat-e$$$s11$p2	mate	0.0	1	0	0
	male	1.0	0	0	1
	mae	0.0	0	1	0
mat-te$$$s11$p3	matte	1.0	0	0	0
	malte	0.0	0	0	1
	mate	0.0	0	1	0
mat-tu$$$s11$p4	mattu	1.0	0	0	0
	maltu	0.0	0	0	1
	matu	0.0	0	1	0
mat-u$$$s11$p5	matu	0.0	1	0	0
	malu	1.0	0	0	1
	mau	0.0	0	1	0
tus-a$$$s12$p0	tusa	1.0	1	0	0
	tula	0.0	0	0	1
	tua	0.0	0	1	0
tus-ta$$$s12$p1	tutta	1.0	0	0	0
	tulta	0.0	0	0	1
	tuta	0.0	0	1	0
tus-e$$$s12$p2	tuse	1.0	1	0	0
	tule	0.0	0	0	1
	tue	0.0	0	1	0
tus-te$$$s12$p3	tutte	1.0	0	0	0
	tulte	0.0	0	0	1
	tute	0.0	0	1	0
tus-tu$$$s12$p4	tuttu	1.0	0	0	0
	tultu	0.0	0	0	1
	tutu	0.0	0	1	0
tus-u$$$s12$p5	tusu	1.0	1	0	0
	tulu	0.0	0	0	1
	tuu	0.0	0	1	0
sis-a$$$s13$p0	sisa	1.0	1	0	0
	sila	0.0	0	0	1
	sia	0.0	0	1	0
sis-ta$$$s13$p1	sitta	1.0	0	0	0
	silta	0.0	0	0	1
	sita	0.0	0	1	0
sis-e$$$s13$p2	sise	1.0	1	0	0
	sile	0.0	0	0	1
	sie	0.0	0	1	0
sis-te$$$s13$p3	sitte	1.0	0	0	0
	silte	0.0	0	0	1
	site	0.0	0	1	0
sis-tu$$$s13$p4	sittu	1.0	0	0	0
	siltu	0.0	0	0	1
	situ	0.0	0	1	0
sis-u$$$s13$p5	sisu	1.0	1	0	0
	silu	0.0	0	0	1
	siu	0.0	0	1	0
hus-a$$$s14$p0	husa	1.0	1	0	0
	hula	0.0	0	0	1
	hua	0.0	0	1	0
hus-ta$$$s14$p1	hutta	1.0	0	0	0
	hulta	0.0	0	0	1
	huta	0.0	0	1	0
hus-e$$$s14$p2	huse	1.0	1	0	0
	hule	0.0	0	0	1
	hue	0.0	0	1	0
hus-te$$$s14$p3	hutte	1.0	0	0	0
	hulte	0.0	0	0	1
	hute	0.0	0	1	0
hus-tu$$$s14$p4	huttu	1.0	0	0	0
	hultu	0.0	0	0	1
	hutu	0.0	0	1	0
hus-u$$$s14$p5	husu	1.0	1	0	0
	hulu	0.0	0	0	1
	huu	0.0	0	1	0
kis-a$$$s15$p0	kisa	1.0	1	0	0
	kila	0.0	0	0	1
	kia	0.0	0	1	0
kis-ta$$$s15$p1	kitta	1.0	0	0	0
	kilta	0.0	0	0	1
	kita	0.0	0	1	0
kis-e$$$s15$p2	kise	1.0	1	0	0
	kile	0.0	0	0	1
	kie	0.0	0	1	0
kis-te$$$s15$p3	kitte	1.0	0	0	0
	kilte	0.0	0	0	1
	kite	0.0	0	1	0
kis-tu$$$s15$p4	kittu	1.0	0	0	0
	kiltu	0.0	0	0	1
	kitu	0.0	0	1	0
kis-u$$$s15$p5	kisu	1.0	1	0	0
	kilu	0.0	0	0	1
	kiu	0.0	0	1	0
mis-a$$$s16$p0	misa	0.0	1	0	0
	mila	0.0	0	0	1
	mia	1.0	0	1	0
mis-ta$$$s16$p1	mitta	1.0	0	0	0
	milta	0.0	0	0	1
	mita	0.0	0	1	0
mis-e$$$s16$p2	mise	0.0	1	0	0
	mile	0.0	0	0	1
	mie	1.0	0	1	0
mis-te$$$s16$p3	mitte	1.0	0	0	0
	milte	0.0	0	0	1
	mite	0.0	0	1	0
mis-tu$$$s16$p4	mittu	1.0	0	0	0
	miltu	0.0	0	0	1
	mitu	0.0	0	1	0
mis-u$$$s16$p5	misu	0.0	1	0	0
	milu	0.0	0	0	1
	miu	1.0	0	1	0
pes-a$$$s17$p0	pesa	0.0	1	0	0
	pela	0.0	0	0	1
	pea	1.0	0	1	0
pes-ta$$$s17$p1	petta	1.0	0	0	0
	pelta	0.0	0	0	1
	peta	0.0	0	1	0
pes-e$$$s17$p2	pese	0.0	1	0	0
	pele	0.0	0	0	1
	pee	1.0	0	1	0
pes-te$$$s17$p3	pette	1.0	0	0	0
	pelte	0.0	0	0	1
	pete	0.0	0	1	0
pes-tu$$$s17$p4	pettu	1.0	0	0	0
	peltu	0.0	0	0	1
	petu	0.0	0	1	0
pes-u$$$s17$p5	pesu	0.0	1	0	0
	pelu	0.0	0	0	1
	peu	1.0	0	1	0
ses-a$$$s18$p0	sesa	0.0	1	0	0
	sela	0.0	0	0	1
	sea	1.0	0	1	0
ses-ta$$$s18$p1	setta	1.0	0	0	0
	selta	0.0	0	0	1
	seta	0.0	0	1	0
ses-e$$$s18$p2	sese	0.0	1	0	0
	sele	0.0	0	0	1
	see	1.0	0	1	0
ses-te$$$s18$p3	sette	1.0	0	0	0
	selte	0.0	0	0	1
	sete	0.0	0	1	0
ses-tu$$$s18$p4	settu	1.0	0	0	0
	seltu	0.0	0	0	1
	setu	0.0	0	1	0
ses-u$$$s18$p5	sesu	0.0	1	0	0
	selu	0.0	0	0	1
	seu	1.0	0	1	0
nes-a$$$s19$p0	nesa	0.0	1	0	0
	nela	0.0	0	0	1
	nea	1.0	0	1	0
nes-ta$$$s19$p1	netta	1.0	0	0	0
	nelta	0.0	0	0	1
	neta	0.0	0	1	0
nes-e$$$s19$p2	nese	0.0	1	0	0
	nele	0.0	0	0	1
	nee	1.0	0	1	0
nes-te$$$s19$p3	nette	1.0	0	0	0
	nelte	0.0	0	0	1
	nete	0.0	0	1	0
nes-tu$$$s19$p4	nettu	1.0	0	0	0
	neltu	0.0	0	0	1
	netu	0.0	0	1	0
nes-u$$$s19$p5	nesu	0.0	1	0	0
	nelu	0.0	0	0	1
	neu	1.0	0	1	0
nus-a$$$s20$p0	nusa	0.0	1	0	0
	nula	0.0	0	0	1
	nua	1.0	0	1	0
nus-ta$$$s20$p1	nutta	1.0	0	0	0
	nulta	0.0	0	0	1
	nuta	0.0	0	1	0
nus-e$$$s20$p2	nuse	0.0	1	0	0
	nule	0.0	0	0	1
	nue	1.0	0	1	0
nus-te$$$s20$p3	nutte	1.0	0	0	0
	nulte	0.0	0	0	1
	nute	0.0	0	1	0
nus-tu$$$s20$p4	nuttu	1.0	0	0	0
	nultu	0.0	0	0	1
	nutu	0.0	0	1	0
nus-u$$$s20$p5	nusu	0.0	1	0	0
	nulu	0.0	0	0	1
	nuu	1.0	0	1	0
